Task_Type,Current_Status,Business_Impact,Days_to_Deadline,Deadline_Class
Notification System,Completed,Medium,8,Low
Inventory Management,To Do,Medium,14,Medium
Certificate of Acceptance (CoA),In Progress,Low,6,Low
Data Services & Management,To Do,Low,16,Medium
Data Services & Management,Completed,Medium,10,Medium
Payment Gateway Integration,To Do,Low,18,Medium
Notification System,To Do,Low,19,Medium
Data Lake & Data Warehouse Operation,In Progress,High,11,Medium
User Interface and User Experience (UI/UX),In Progress,Medium,17,Medium
Data Management and Storage,In Progress,High,12,Medium
Workflow Management,In Progress,Medium,30,High
Business Continuity Plan (BCP),To Do,Low,22,High
User Interface and User Experience (UI/UX),Completed,High,12,Medium
Enterprise Architecture (EA),Completed,High,26,High
Enterprise Architecture (EA),To Do,Medium,17,Medium
Finalization and Integration,To Do,High,14,Medium
Inventory Management,To Do,High,3,Low
Communication and Collaboration Tools,To Do,Low,8,Low
Finalization and Integration,Completed,Low,11,Medium
User Interface and User Experience (UI/UX),In Progress,Medium,25,High
Communication and Collaboration Tools,To Do,Medium,29,High
Inventory Management,To Do,Medium,12,Medium
Enterprise Architecture (EA),Completed,Medium,8,Low
Certificate of Acceptance (CoA),To Do,Medium,12,Medium
Monitoring & Control Reports,To Do,High,30,High
Data Lake & Data Warehouse Operation,Completed,Low,17,Medium
Finalization and Integration,To Do,High,8,Low
Management Plans,In Progress,Medium,10,Medium
Audit and Compliance,In Progress,Low,25,High
Enterprise Architecture (EA),Completed,High,12,Medium
Transfer of Technology (TOT),To Do,Low,2,Low
Enterprise Architecture (EA),In Progress,High,28,High
Management Plans,In Progress,Low,4,Low
Portal Learning Management System (LMS),To Do,Medium,28,High
DevOps,In Progress,High,20,High
Management Plans,In Progress,High,4,Low
Customer Relationship Management (CRM),Completed,Medium,12,Medium
Certificate of Acceptance (CoA),In Progress,Low,10,Medium
Communication and Collaboration Tools,Completed,Low,10,Medium
Notification System,In Progress,Low,7,Low
Finalization and Integration,To Do,Low,17,Medium
Data Lake & Data Warehouse Operation,To Do,High,19,Medium
Payment Gateway Integration,To Do,Medium,9,Low
Notification System,To Do,Low,14,Medium
Transfer of Knowledge (TOK),To Do,Medium,12,Medium
Reporting and Analytics,To Do,High,5,Low
Project Management Information System (PMIS),To Do,High,25,High
Transfer of Technology (TOT),To Do,High,18,Medium
DevOps,To Do,Low,27,High
Management Plans,To Do,High,20,High
Project Management,To Do,High,4,Low
Customer Relationship Management (CRM),In Progress,Low,12,Medium
Project Closure Report,To Do,Low,24,High
Notification System,Completed,Medium,30,High
Monitoring & Control Reports,To Do,High,27,High
Office Renovation,In Progress,Medium,2,Low
Reporting and Analytics,In Progress,High,24,High
DevOps,In Progress,Low,30,High
DevOps,Completed,Medium,8,Low
Reporting and Analytics,To Do,Low,19,Medium
Finalization and Integration,To Do,Low,23,High
Workflow Management,To Do,High,1,Low
Transfer of Knowledge (TOK),To Do,Medium,8,Low
Project Management,To Do,High,28,High
Transfer of Technology (TOT),In Progress,Medium,8,Low
User Authentication and Access Control,To Do,Medium,17,Medium
DevOps,Completed,High,16,Medium
Certificate of Acceptance (CoA),To Do,High,22,High
Office Renovation,In Progress,Medium,3,Low
Management Plans,To Do,High,10,Medium
Data Management and Storage,Completed,Low,16,Medium
Workflow Management,Completed,Medium,29,High
Data Services & Management,Completed,High,7,Low
Office Renovation,Completed,Low,25,High
User Authentication and Access Control,To Do,High,12,Medium
User Authentication and Access Control,Completed,Medium,22,High
Management Plans,In Progress,Medium,17,Medium
User Authentication and Access Control,In Progress,High,26,High
Human Resource Management (HRM),In Progress,High,19,Medium
Project Closure Report,In Progress,Low,4,Low
User Interface and User Experience (UI/UX),To Do,Medium,27,High
Reporting and Analytics,In Progress,High,26,High
Change Management,In Progress,Medium,10,Medium
Office Renovation,To Do,Medium,12,Medium
Management Plans,In Progress,High,5,Low
Data Lake & Data Warehouse Operation,Completed,High,3,Low
Project Closure Report,In Progress,High,25,High
User Interface and User Experience (UI/UX),In Progress,High,11,Medium
Change Management,To Do,Medium,23,High
Communication and Collaboration Tools,In Progress,High,4,Low
Finalization and Integration,Completed,High,25,High
Workflow Management,Completed,Low,27,High
Project Closure Report,To Do,Medium,9,Low
Notification System,To Do,Low,12,Medium
Project Management,To Do,Low,27,High
Payment Gateway Integration,Completed,High,19,Medium
Reporting and Analytics,To Do,High,29,High
Workflow Management,To Do,High,2,Low
Project Management,To Do,High,23,High
Transfer of Knowledge (TOK),In Progress,High,24,High
Business Continuity Plan (BCP),To Do,High,27,High
Human Resource Management (HRM),Completed,High,8,Low
Contract Documentation,Completed,Medium,4,Low
Communication and Collaboration Tools,In Progress,Low,14,Medium
Inventory Management,Completed,Medium,18,Medium
Management Plans,In Progress,Low,20,High
Audit and Compliance,To Do,High,22,High
Project Management,To Do,High,16,Medium
Payment Gateway Integration,In Progress,Medium,7,Low
Payment Gateway Integration,To Do,Medium,7,Low
Management Plans,In Progress,Medium,21,High
Monitoring & Control Reports,In Progress,Low,24,High
Human Resource Management (HRM),Completed,Low,2,Low
User Authentication and Access Control,To Do,Low,23,High
Monitoring & Control Reports,In Progress,Low,21,High
Project Closure Report,To Do,Medium,28,High
Enterprise Architecture (EA),Completed,Medium,19,Medium
Workflow Management,In Progress,Medium,30,High
Workflow Management,Completed,High,1,Low
Reporting and Analytics,Completed,Low,21,High
DevOps,Completed,Medium,11,Medium
Communication and Collaboration Tools,Completed,Low,28,High
Business Continuity Plan (BCP),Completed,Medium,5,Low
Portal Learning Management System (LMS),To Do,Medium,25,High
Data Services & Management,Completed,High,10,Medium
Project Closure Report,In Progress,High,2,Low
Monitoring & Control Reports,Completed,High,14,Medium
Audit and Compliance,In Progress,Low,1,Low
User Interface and User Experience (UI/UX),Completed,Low,25,High
Notification System,In Progress,Low,22,High
Office Renovation,To Do,Medium,16,Medium
Data Lake & Data Warehouse Operation,In Progress,Low,24,High
User Authentication and Access Control,To Do,Low,19,Medium
Office Renovation,In Progress,Medium,29,High
Monitoring & Control Reports,In Progress,High,1,Low
Data Services & Management,To Do,Medium,25,High
Project Closure Report,To Do,High,24,High
Transfer of Knowledge (TOK),In Progress,Medium,29,High
Workflow Management,In Progress,Low,3,Low
Certificate of Acceptance (CoA),To Do,Medium,26,High
Human Resource Management (HRM),To Do,High,11,Medium
Data Management and Storage,To Do,Medium,30,High
Audit and Compliance,To Do,Medium,16,Medium
Training Management,In Progress,High,18,Medium
Human Resource Management (HRM),In Progress,Low,26,High
Human Resource Management (HRM),Completed,Medium,26,High
Change Management,To Do,Low,2,Low
Payment Gateway Integration,In Progress,High,13,Medium
Payment Gateway Integration,In Progress,Low,10,Medium
Finalization and Integration,To Do,Medium,10,Medium
Reporting and Analytics,In Progress,Medium,22,High
Data Management and Storage,In Progress,Medium,25,High
Payment Gateway Integration,In Progress,Low,14,Medium
Transfer of Technology (TOT),Completed,Medium,16,Medium
Portal,Completed,Medium,8,Low
Finalization and Integration,Completed,High,29,High
Project Management,In Progress,Low,21,High
Change Management,Completed,Low,9,Low
Portal,To Do,Medium,9,Low
Payment Gateway Integration,To Do,High,29,High
Human Resource Management (HRM),In Progress,High,5,Low
Payment Gateway Integration,To Do,Low,23,High
User Interface and User Experience (UI/UX),Completed,Medium,14,Medium
Reporting and Analytics,To Do,Low,9,Low
User Authentication and Access Control,Completed,High,6,Low
Project Management Information System (PMIS),Completed,Medium,8,Low
Monitoring & Control Reports,To Do,Low,7,Low
Finalization and Integration,In Progress,Medium,15,Medium
Enterprise Architecture (EA),Completed,Medium,4,Low
Human Resource Management (HRM),To Do,High,12,Medium
Portal Learning Management System (LMS),In Progress,Low,6,Low
Communication and Collaboration Tools,To Do,Low,28,High
Enterprise Architecture (EA),To Do,High,13,Medium
Customer Relationship Management (CRM),In Progress,Low,6,Low
Project Management,Completed,Low,7,Low
Transfer of Technology (TOT),In Progress,Medium,7,Low
Notification System,To Do,Low,17,Medium
Training Management,To Do,High,11,Medium
Communication and Collaboration Tools,Completed,Low,14,Medium
Monitoring & Control Reports,To Do,Medium,13,Medium
Workflow Management,In Progress,Low,28,High
Audit and Compliance,Completed,High,22,High
Customer Relationship Management (CRM),To Do,High,3,Low
Business Continuity Plan (BCP),Completed,Medium,1,Low
Project Management Information System (PMIS),In Progress,Medium,17,Medium
Communication and Collaboration Tools,To Do,High,17,Medium
Payment Gateway Integration,In Progress,Low,12,Medium
Notification System,Completed,Medium,18,Medium
Inventory Management,In Progress,High,7,Low
Communication and Collaboration Tools,In Progress,High,23,High
Monitoring & Control Reports,In Progress,Medium,4,Low
User Authentication and Access Control,To Do,Low,17,Medium
Audit and Compliance,To Do,Medium,21,High
Workflow Management,In Progress,Medium,24,High
Business Continuity Plan (BCP),In Progress,High,13,Medium
Portal,In Progress,Low,4,Low
Workflow Management,Completed,High,23,High
User Interface and User Experience (UI/UX),To Do,Low,10,Medium
User Authentication and Access Control,Completed,High,27,High
Transfer of Technology (TOT),Completed,High,13,Medium
Communication and Collaboration Tools,In Progress,Low,10,Medium
Reporting and Analytics,Completed,Low,11,Medium
Notification System,In Progress,Low,30,High
User Authentication and Access Control,To Do,High,24,High
User Interface and User Experience (UI/UX),In Progress,Low,15,Medium
Project Management,In Progress,Medium,3,Low
Finalization and Integration,Completed,Low,20,High
Transfer of Technology (TOT),In Progress,Medium,10,Medium
Data Services & Management,In Progress,Medium,24,High
Project Closure Report,Completed,High,13,Medium
Office Renovation,To Do,Medium,21,High
Office Renovation,To Do,High,9,Low
Finalization and Integration,To Do,Medium,21,High
User Interface and User Experience (UI/UX),Completed,High,17,Medium
Business Continuity Plan (BCP),Completed,Low,16,Medium
Certificate of Acceptance (CoA),To Do,High,23,High
Project Management Information System (PMIS),In Progress,Low,5,Low
Enterprise Architecture (EA),To Do,High,30,High
Workflow Management,Completed,High,18,Medium
Transfer of Knowledge (TOK),Completed,Medium,25,High
Enterprise Architecture (EA),Completed,High,26,High
Change Management,To Do,High,8,Low
Data Lake & Data Warehouse Operation,In Progress,Low,19,Medium
Enterprise Architecture (EA),Completed,Low,7,Low
Change Management,Completed,Medium,29,High
Inventory Management,In Progress,High,12,Medium
Project Management,In Progress,Medium,30,High
Change Management,Completed,Medium,14,Medium
Reporting and Analytics,To Do,Low,9,Low
Data Services & Management,To Do,High,20,High
Human Resource Management (HRM),To Do,High,14,Medium
User Interface and User Experience (UI/UX),In Progress,Medium,20,High
Audit and Compliance,To Do,Low,28,High
Office Renovation,In Progress,Medium,23,High
Communication and Collaboration Tools,Completed,Medium,20,High
Project Closure Report,Completed,High,16,Medium
Data Lake & Data Warehouse Operation,Completed,Low,16,Medium
Monitoring & Control Reports,To Do,Low,19,Medium
Project Management,In Progress,Medium,13,Medium
Reporting and Analytics,Completed,Low,20,High
Payment Gateway Integration,To Do,High,17,Medium
Audit and Compliance,To Do,Medium,19,Medium
Project Closure Report,To Do,Low,4,Low
Data Services & Management,To Do,Low,13,Medium
Project Management,Completed,High,7,Low
User Interface and User Experience (UI/UX),In Progress,Low,10,Medium
Audit and Compliance,To Do,High,1,Low
Office Renovation,In Progress,Medium,27,High
Reporting and Analytics,Completed,Medium,12,Medium
DevOps,Completed,Low,3,Low
Project Management Information System (PMIS),To Do,Low,9,Low
Data Management and Storage,Completed,High,14,Medium
Data Management and Storage,To Do,High,2,Low
User Authentication and Access Control,Completed,Medium,17,Medium
Change Management,To Do,High,18,Medium
Finalization and Integration,Completed,High,9,Low
Project Management,Completed,Low,2,Low
User Interface and User Experience (UI/UX),Completed,Low,4,Low
Monitoring & Control Reports,To Do,Low,26,High
Data Lake & Data Warehouse Operation,Completed,Low,17,Medium
Payment Gateway Integration,Completed,High,1,Low
Inventory Management,Completed,High,28,High
Data Services & Management,Completed,High,22,High
Change Management,In Progress,Medium,29,High
Management Plans,To Do,Medium,24,High
Finalization and Integration,To Do,High,23,High
Transfer of Knowledge (TOK),Completed,Low,1,Low
Change Management,In Progress,Medium,7,Low
Project Management,To Do,Medium,24,High
Business Continuity Plan (BCP),In Progress,Medium,2,Low
User Authentication and Access Control,In Progress,Medium,7,Low
Project Closure Report,To Do,Medium,18,Medium
Communication and Collaboration Tools,In Progress,High,15,Medium
DevOps,Completed,High,12,Medium
Inventory Management,Completed,Low,4,Low
Human Resource Management (HRM),Completed,Low,13,Medium
Payment Gateway Integration,Completed,High,20,High
Customer Relationship Management (CRM),In Progress,Low,21,High
Monitoring & Control Reports,Completed,Medium,25,High
Monitoring & Control Reports,In Progress,Medium,12,Medium
Monitoring & Control Reports,Completed,High,20,High
Notification System,In Progress,High,27,High
Data Management and Storage,In Progress,Low,26,High
Project Closure Report,To Do,High,17,Medium
Transfer of Knowledge (TOK),Completed,High,21,High
Portal,To Do,Medium,10,Medium
Reporting and Analytics,Completed,Low,9,Low
Monitoring & Control Reports,Completed,High,6,Low
Project Closure Report,In Progress,Low,27,High
Transfer of Knowledge (TOK),To Do,High,27,High
Change Management,In Progress,High,14,Medium
Transfer of Knowledge (TOK),To Do,High,6,Low
Contract Documentation,Completed,Low,14,Medium
Certificate of Acceptance (CoA),Completed,Medium,24,High
Certificate of Acceptance (CoA),Completed,Medium,28,High
User Authentication and Access Control,In Progress,Medium,28,High
Contract Documentation,In Progress,Medium,25,High
Office Renovation,Completed,Medium,16,Medium
Office Renovation,In Progress,High,25,High
Portal,Completed,High,29,High
Payment Gateway Integration,To Do,Low,1,Low
Customer Relationship Management (CRM),Completed,Medium,12,Medium
Human Resource Management (HRM),In Progress,Medium,11,Medium
Data Lake & Data Warehouse Operation,To Do,Low,23,High
Data Management and Storage,To Do,Medium,23,High
Management Plans,Completed,Low,13,Medium
Reporting and Analytics,Completed,Low,13,Medium
Business Continuity Plan (BCP),In Progress,High,12,Medium
Data Lake & Data Warehouse Operation,Completed,High,18,Medium
Inventory Management,To Do,Low,22,High
Transfer of Knowledge (TOK),Completed,Low,12,Medium
Project Management,Completed,Medium,1,Low
Training Management,To Do,High,3,Low
Workflow Management,Completed,High,3,Low
Project Management Information System (PMIS),In Progress,Low,9,Low
Data Management and Storage,Completed,Low,2,Low
Data Management and Storage,In Progress,Low,2,Low
Office Renovation,To Do,Medium,17,Medium
Communication and Collaboration Tools,In Progress,Medium,5,Low
Human Resource Management (HRM),Completed,Medium,11,Medium
Workflow Management,To Do,High,10,Medium
Office Renovation,In Progress,High,7,Low
Data Lake & Data Warehouse Operation,To Do,Low,30,High
Communication and Collaboration Tools,In Progress,High,25,High
Workflow Management,Completed,High,22,High
Project Closure Report,In Progress,Low,27,High
Inventory Management,Completed,High,13,Medium
Reporting and Analytics,Completed,High,1,Low
Data Management and Storage,To Do,Low,17,Medium
User Interface and User Experience (UI/UX),In Progress,High,4,Low
Project Closure Report,In Progress,Low,29,High
Portal,To Do,Medium,5,Low
Data Services & Management,To Do,Low,9,Low
Change Management,Completed,Low,12,Medium
Communication and Collaboration Tools,In Progress,Low,4,Low
Certificate of Acceptance (CoA),In Progress,High,15,Medium
User Interface and User Experience (UI/UX),In Progress,Medium,19,Medium
Audit and Compliance,In Progress,High,15,Medium
User Authentication and Access Control,To Do,High,3,Low
Data Services & Management,In Progress,High,14,Medium
Reporting and Analytics,In Progress,High,16,Medium
Project Management Information System (PMIS),Completed,High,20,High
Business Continuity Plan (BCP),In Progress,Low,5,Low
Workflow Management,In Progress,Low,20,High
Project Closure Report,In Progress,High,13,Medium
Data Lake & Data Warehouse Operation,Completed,Medium,1,Low
Notification System,To Do,High,18,Medium
User Interface and User Experience (UI/UX),In Progress,Medium,19,Medium
Data Management and Storage,In Progress,Medium,27,High
Project Closure Report,In Progress,Medium,15,Medium
Transfer of Knowledge (TOK),To Do,Medium,5,Low
Payment Gateway Integration,In Progress,High,13,Medium
Finalization and Integration,Completed,High,25,High
DevOps,In Progress,Medium,15,Medium
Monitoring & Control Reports,In Progress,Low,28,High
User Interface and User Experience (UI/UX),To Do,Medium,16,Medium
User Interface and User Experience (UI/UX),To Do,High,10,Medium
Human Resource Management (HRM),To Do,Low,7,Low
Human Resource Management (HRM),In Progress,High,24,High
User Authentication and Access Control,Completed,Low,25,High
Business Continuity Plan (BCP),To Do,High,6,Low
Data Lake & Data Warehouse Operation,To Do,High,19,Medium
Portal,Completed,Medium,27,High
Business Continuity Plan (BCP),Completed,High,15,Medium
Data Services & Management,To Do,High,15,Medium
Inventory Management,In Progress,Low,29,High
Reporting and Analytics,To Do,High,17,Medium
Certificate of Acceptance (CoA),Completed,Low,19,Medium
User Authentication and Access Control,Completed,High,21,High
Payment Gateway Integration,In Progress,High,13,Medium
Change Management,Completed,Medium,30,High
Payment Gateway Integration,In Progress,High,20,High
Transfer of Technology (TOT),Completed,Medium,24,High
Portal Learning Management System (LMS),To Do,Low,20,High
Training Management,In Progress,Low,11,Medium
Transfer of Technology (TOT),Completed,Medium,25,High
Data Management and Storage,Completed,Low,29,High
Data Management and Storage,In Progress,Low,8,Low
Transfer of Technology (TOT),In Progress,Low,3,Low
Data Lake & Data Warehouse Operation,In Progress,Medium,21,High
Portal,To Do,Medium,15,Medium
Training Management,In Progress,Medium,2,Low
User Authentication and Access Control,Completed,Medium,28,High
Data Services & Management,To Do,Medium,3,Low
Certificate of Acceptance (CoA),In Progress,Low,19,Medium
Change Management,Completed,Low,20,High
Audit and Compliance,To Do,Low,4,Low
User Authentication and Access Control,In Progress,Medium,28,High
Project Management Information System (PMIS),Completed,Medium,9,Low
Management Plans,Completed,Medium,26,High
Monitoring & Control Reports,In Progress,High,5,Low
User Authentication and Access Control,To Do,Low,29,High
Project Management,In Progress,Low,21,High
Enterprise Architecture (EA),Completed,Low,22,High
Audit and Compliance,In Progress,High,26,High
Portal,Completed,Low,11,Medium
DevOps,To Do,Medium,2,Low
Project Management,In Progress,High,12,Medium
Finalization and Integration,In Progress,Medium,16,Medium
Workflow Management,In Progress,Low,2,Low
Office Renovation,In Progress,Low,18,Medium
Reporting and Analytics,Completed,High,13,Medium
Training Management,To Do,High,19,Medium
Data Management and Storage,Completed,Low,14,Medium
Human Resource Management (HRM),To Do,Medium,30,High
Transfer of Technology (TOT),To Do,Low,10,Medium
Data Management and Storage,In Progress,High,13,Medium
Certificate of Acceptance (CoA),Completed,Low,23,High
Finalization and Integration,To Do,Low,14,Medium
Communication and Collaboration Tools,In Progress,Medium,20,High
Business Continuity Plan (BCP),Completed,Low,2,Low
Monitoring & Control Reports,Completed,Medium,23,High
Contract Documentation,To Do,Medium,18,Medium
User Interface and User Experience (UI/UX),In Progress,Medium,8,Low
Human Resource Management (HRM),To Do,Low,22,High
Enterprise Architecture (EA),Completed,High,12,Medium
Transfer of Technology (TOT),To Do,Medium,5,Low
Project Management,Completed,Low,2,Low
Training Management,Completed,High,17,Medium
Monitoring & Control Reports,In Progress,Low,23,High
Transfer of Technology (TOT),Completed,Medium,22,High
Change Management,Completed,Low,17,Medium
User Interface and User Experience (UI/UX),To Do,Medium,24,High
Contract Documentation,To Do,High,18,Medium
Contract Documentation,In Progress,High,28,High
Change Management,In Progress,Low,11,Medium
Office Renovation,To Do,Low,12,Medium
Training Management,Completed,Low,15,Medium
Payment Gateway Integration,Completed,High,11,Medium
User Interface and User Experience (UI/UX),To Do,Low,9,Low
Data Services & Management,To Do,Low,18,Medium
Notification System,Completed,High,6,Low
Project Management Information System (PMIS),To Do,Low,30,High
Change Management,Completed,Low,15,Medium
Transfer of Knowledge (TOK),Completed,Medium,28,High
Enterprise Architecture (EA),To Do,High,26,High
Inventory Management,Completed,High,21,High
Certificate of Acceptance (CoA),In Progress,High,7,Low
Monitoring & Control Reports,Completed,Medium,18,Medium
Notification System,Completed,Low,27,High
Data Lake & Data Warehouse Operation,Completed,High,25,High
Transfer of Knowledge (TOK),In Progress,Medium,18,Medium
Portal Learning Management System (LMS),Completed,Low,21,High
Office Renovation,To Do,Low,16,Medium
Data Lake & Data Warehouse Operation,To Do,Medium,20,High
Reporting and Analytics,In Progress,High,26,High
Enterprise Architecture (EA),Completed,Low,14,Medium
User Interface and User Experience (UI/UX),In Progress,High,26,High
Inventory Management,To Do,High,7,Low
Payment Gateway Integration,In Progress,Low,18,Medium
Portal Learning Management System (LMS),To Do,High,9,Low
Data Lake & Data Warehouse Operation,In Progress,High,21,High
Change Management,Completed,Low,2,Low
Project Closure Report,Completed,Low,14,Medium
Enterprise Architecture (EA),In Progress,Medium,5,Low
Customer Relationship Management (CRM),In Progress,High,26,High
Training Management,Completed,Low,28,High
Portal Learning Management System (LMS),To Do,High,26,High
Change Management,To Do,Medium,26,High
Transfer of Knowledge (TOK),Completed,Medium,4,Low
Data Lake & Data Warehouse Operation,In Progress,Medium,7,Low
Monitoring & Control Reports,Completed,Medium,23,High
Project Management Information System (PMIS),In Progress,Medium,23,High
DevOps,Completed,High,20,High
Data Lake & Data Warehouse Operation,Completed,High,3,Low
User Interface and User Experience (UI/UX),Completed,High,1,Low
Certificate of Acceptance (CoA),To Do,Medium,18,Medium
Data Lake & Data Warehouse Operation,To Do,Medium,8,Low
DevOps,In Progress,High,1,Low
DevOps,In Progress,High,18,Medium
DevOps,To Do,High,14,Medium
Notification System,To Do,Low,18,Medium
Workflow Management,In Progress,Low,24,High
Project Management Information System (PMIS),In Progress,Medium,26,High
Audit and Compliance,In Progress,High,12,Medium
Reporting and Analytics,Completed,High,12,Medium
Portal,Completed,High,21,High
Office Renovation,Completed,Low,8,Low
Data Services & Management,In Progress,High,25,High
User Interface and User Experience (UI/UX),In Progress,Medium,21,High
Data Services & Management,In Progress,Medium,12,Medium
Transfer of Technology (TOT),Completed,Medium,3,Low
Project Management,In Progress,Medium,16,Medium
Change Management,Completed,Low,5,Low
Communication and Collaboration Tools,Completed,Low,15,Medium
Transfer of Knowledge (TOK),Completed,Low,3,Low
Payment Gateway Integration,To Do,Low,5,Low
Data Services & Management,In Progress,Low,23,High
Human Resource Management (HRM),To Do,Low,21,High
Portal,To Do,Medium,20,High
Communication and Collaboration Tools,Completed,Low,20,High
Portal Learning Management System (LMS),Completed,Medium,18,Medium
Contract Documentation,In Progress,Low,18,Medium
Communication and Collaboration Tools,To Do,Low,9,Low
Management Plans,In Progress,High,15,Medium
Contract Documentation,In Progress,Low,4,Low
Monitoring & Control Reports,In Progress,Low,13,Medium
Transfer of Technology (TOT),To Do,Medium,23,High
User Interface and User Experience (UI/UX),To Do,Medium,6,Low
Management Plans,Completed,Low,1,Low
Communication and Collaboration Tools,In Progress,Medium,7,Low
Data Management and Storage,In Progress,Low,15,Medium
Monitoring & Control Reports,To Do,Low,7,Low
Project Management Information System (PMIS),Completed,Low,26,High
Workflow Management,In Progress,Low,26,High
Transfer of Technology (TOT),Completed,Medium,17,Medium
Human Resource Management (HRM),To Do,Medium,5,Low
Portal,Completed,Low,2,Low
Notification System,Completed,Low,2,Low
Training Management,To Do,Medium,23,High
User Authentication and Access Control,To Do,Medium,4,Low
Human Resource Management (HRM),In Progress,Medium,13,Medium
Finalization and Integration,To Do,Medium,17,Medium
Monitoring & Control Reports,Completed,Low,21,High
Training Management,Completed,Medium,4,Low
Office Renovation,In Progress,Medium,6,Low
Monitoring & Control Reports,To Do,Medium,16,Medium
Audit and Compliance,To Do,Low,8,Low
Human Resource Management (HRM),Completed,Low,20,High
Reporting and Analytics,To Do,Low,15,Medium
Communication and Collaboration Tools,Completed,Medium,28,High
DevOps,Completed,Low,14,Medium
Project Closure Report,In Progress,Low,26,High
Training Management,Completed,High,18,Medium
Project Management,In Progress,Medium,24,High
Monitoring & Control Reports,To Do,High,21,High
Communication and Collaboration Tools,To Do,High,16,Medium
Communication and Collaboration Tools,Completed,High,23,High
Contract Documentation,To Do,High,2,Low
Customer Relationship Management (CRM),In Progress,Low,2,Low
Communication and Collaboration Tools,Completed,Medium,19,Medium
Reporting and Analytics,Completed,High,9,Low
Reporting and Analytics,To Do,Low,9,Low
Finalization and Integration,To Do,Low,20,High
Change Management,Completed,Low,4,Low
Data Services & Management,Completed,High,19,Medium
Management Plans,Completed,High,18,Medium
Inventory Management,Completed,Low,18,Medium
Project Management,In Progress,High,28,High
Certificate of Acceptance (CoA),Completed,High,23,High
Payment Gateway Integration,In Progress,Low,29,High
Business Continuity Plan (BCP),To Do,High,10,Medium
Customer Relationship Management (CRM),To Do,Low,14,Medium
Change Management,To Do,Low,1,Low
Finalization and Integration,To Do,Low,2,Low
Management Plans,Completed,High,26,High
Portal Learning Management System (LMS),Completed,Low,17,Medium
Project Management Information System (PMIS),In Progress,Medium,17,Medium
Audit and Compliance,Completed,Low,2,Low
Management Plans,Completed,Medium,20,High
Transfer of Technology (TOT),To Do,High,20,High
Customer Relationship Management (CRM),To Do,Low,21,High
Project Closure Report,In Progress,Medium,15,Medium
Portal,To Do,Medium,26,High
Transfer of Technology (TOT),To Do,High,20,High
Project Management,To Do,Medium,7,Low
User Authentication and Access Control,Completed,High,25,High
Change Management,To Do,Low,12,Medium
Communication and Collaboration Tools,In Progress,Low,4,Low
Change Management,Completed,High,26,High
Project Closure Report,Completed,Low,29,High
Portal Learning Management System (LMS),In Progress,Low,20,High
Change Management,Completed,High,11,Medium
Transfer of Knowledge (TOK),Completed,Medium,23,High
Inventory Management,In Progress,Low,17,Medium
Transfer of Technology (TOT),In Progress,Medium,19,Medium
Training Management,Completed,Low,9,Low
Project Closure Report,In Progress,High,19,Medium
Data Management and Storage,Completed,Low,24,High
Office Renovation,Completed,Medium,27,High
Transfer of Technology (TOT),Completed,High,22,High
Project Closure Report,In Progress,Medium,14,Medium
Finalization and Integration,To Do,Low,30,High
Project Management Information System (PMIS),In Progress,Medium,29,High
Notification System,To Do,High,12,Medium
User Authentication and Access Control,Completed,Low,27,High
Certificate of Acceptance (CoA),In Progress,Low,5,Low
Data Management and Storage,Completed,Low,12,Medium
Inventory Management,Completed,High,9,Low
Portal Learning Management System (LMS),To Do,Low,7,Low
Portal,To Do,High,26,High
Enterprise Architecture (EA),In Progress,High,30,High
User Authentication and Access Control,To Do,Medium,15,Medium
Human Resource Management (HRM),Completed,High,4,Low
Notification System,In Progress,Medium,6,Low
Certificate of Acceptance (CoA),In Progress,Low,8,Low
Project Management Information System (PMIS),In Progress,High,7,Low
Business Continuity Plan (BCP),In Progress,Low,20,High
Change Management,Completed,High,18,Medium
Notification System,In Progress,Low,30,High
Portal Learning Management System (LMS),To Do,Medium,25,High
User Authentication and Access Control,To Do,Medium,16,Medium
User Interface and User Experience (UI/UX),Completed,Low,9,Low
Data Management and Storage,In Progress,High,17,Medium
Contract Documentation,Completed,High,22,High
Business Continuity Plan (BCP),Completed,Medium,19,Medium
Payment Gateway Integration,Completed,Medium,24,High
Project Closure Report,To Do,High,3,Low
Portal,In Progress,High,18,Medium
Change Management,In Progress,Medium,4,Low
Data Management and Storage,In Progress,Medium,5,Low
Human Resource Management (HRM),Completed,Low,9,Low
Transfer of Technology (TOT),To Do,Medium,4,Low
Transfer of Technology (TOT),In Progress,Low,4,Low
DevOps,To Do,Medium,17,Medium
Notification System,Completed,Low,5,Low
Communication and Collaboration Tools,Completed,Low,22,High
Office Renovation,To Do,Low,1,Low
User Interface and User Experience (UI/UX),Completed,High,9,Low
Customer Relationship Management (CRM),To Do,Medium,25,High
Workflow Management,To Do,Medium,3,Low
Data Services & Management,In Progress,Medium,9,Low
Workflow Management,Completed,Medium,8,Low
Data Management and Storage,In Progress,Low,7,Low
Data Management and Storage,Completed,Medium,27,High
Portal Learning Management System (LMS),In Progress,Low,14,Medium
Monitoring & Control Reports,Completed,Medium,17,Medium
Change Management,In Progress,Medium,20,High
Management Plans,To Do,Medium,18,Medium
Workflow Management,In Progress,High,3,Low
Human Resource Management (HRM),In Progress,High,12,Medium
Inventory Management,To Do,Low,29,High
DevOps,In Progress,High,18,Medium
Communication and Collaboration Tools,In Progress,Low,6,Low
Data Management and Storage,Completed,Low,14,Medium
