Task_Type,Current_Status,Business_Impact,Days_to_Deadline,Deadline_Class,Priority
Communication and Collaboration Tools,To Do,Low,8,Low,Medium
Finalization and Integration,Completed,Low,11,Medium,Low
User Interface and User Experience (UI/UX),In Progress,Medium,25,High,Medium
Communication and Collaboration Tools,To Do,Medium,29,High,Medium
Inventory Management,To Do,Medium,12,Medium,Medium
Enterprise Architecture (EA),Completed,Medium,8,Low,Low
Certificate of Acceptance (CoA),To Do,Medium,12,Medium,Low
Monitoring & Control Reports,To Do,High,30,High,High
Data Lake & Data Warehouse Operation,Completed,Low,17,Medium,Medium
Finalization and Integration,To Do,High,8,Low,Medium
Management Plans,In Progress,Medium,10,Medium,Low
Audit and Compliance,In Progress,Low,25,High,Medium
Enterprise Architecture (EA),Completed,High,12,Medium,Low
Transfer of Technology (TOT),To Do,Low,2,Low,Low
Enterprise Architecture (EA),In Progress,High,28,High,Medium
Management Plans,In Progress,Low,4,Low,Low
Portal Learning Management System (LMS),To Do,Medium,28,High,Medium
DevOps,In Progress,High,20,High,High
Management Plans,In Progress,High,4,Low,Low
Customer Relationship Management (CRM),Completed,Medium,12,Medium,Low
Certificate of Acceptance (CoA),In Progress,Low,10,Medium,Low
Communication and Collaboration Tools,Completed,Low,10,Medium,Low
Notification System,In Progress,Low,7,Low,Low
Finalization and Integration,To Do,Low,17,Medium,Medium
Data Lake & Data Warehouse Operation,To Do,High,19,Medium,Medium
Payment Gateway Integration,To Do,Medium,9,Low,Medium
Notification System,To Do,Low,14,Medium,Low
Transfer of Knowledge (TOK),To Do,Medium,12,Medium,Low
Reporting and Analytics,To Do,High,5,Low,Medium
Project Management Information System (PMIS),To Do,High,25,High,High
Transfer of Technology (TOT),To Do,High,18,Medium,Low
DevOps,To Do,Low,27,High,Medium
Management Plans,To Do,High,20,High,Medium
Project Management,To Do,High,4,Low,Medium
Customer Relationship Management (CRM),In Progress,Low,12,Medium,High
Project Closure Report,To Do,Low,24,High,Low
Notification System,Completed,Medium,30,High,Low
Monitoring & Control Reports,To Do,High,27,High,High
Office Renovation,In Progress,Medium,2,Low,Low
Reporting and Analytics,In Progress,High,24,High,High
DevOps,In Progress,Low,30,High,Medium
DevOps,Completed,Medium,8,Low,Low
Reporting and Analytics,To Do,Low,19,Medium,Medium
Finalization and Integration,To Do,Low,23,High,Medium
Workflow Management,To Do,High,1,Low,Medium
Transfer of Knowledge (TOK),To Do,Medium,8,Low,Low
Project Management,To Do,High,28,High,Medium
Transfer of Technology (TOT),In Progress,Medium,8,Low,Medium
User Authentication and Access Control,To Do,Medium,17,Medium,Medium
DevOps,Completed,High,16,Medium,Low
Certificate of Acceptance (CoA),To Do,High,22,High,Medium
Office Renovation,In Progress,Medium,3,Low,Low
Management Plans,To Do,High,10,Medium,Low
Data Management and Storage,Completed,Low,16,Medium,Low
Workflow Management,Completed,Medium,29,High,Low
Data Services & Management,Completed,High,7,Low,Low
Office Renovation,Completed,Low,25,High,Low
User Authentication and Access Control,To Do,High,12,Medium,Medium
User Authentication and Access Control,Completed,Medium,22,High,Medium
Management Plans,In Progress,Medium,17,Medium,Low
User Authentication and Access Control,In Progress,High,26,High,High
Human Resource Management (HRM),In Progress,High,19,Medium,Medium
Project Closure Report,In Progress,Low,4,Low,Low
User Interface and User Experience (UI/UX),To Do,Medium,27,High,Medium
Reporting and Analytics,In Progress,High,26,High,High
Change Management,In Progress,Medium,10,Medium,Low
Office Renovation,To Do,Medium,12,Medium,Low
Management Plans,In Progress,High,5,Low,Low
Data Lake & Data Warehouse Operation,Completed,High,3,Low,Medium
Project Closure Report,In Progress,High,25,High,Medium
User Interface and User Experience (UI/UX),In Progress,High,11,Medium,Medium
Change Management,To Do,Medium,23,High,Low
Communication and Collaboration Tools,In Progress,High,4,Low,Medium
Finalization and Integration,Completed,High,25,High,Medium
Workflow Management,Completed,Low,27,High,Low
Project Closure Report,To Do,Medium,9,Low,Low
Notification System,To Do,Low,12,Medium,Low
Project Management,To Do,Low,27,High,Medium
Payment Gateway Integration,Completed,High,19,Medium,Medium
Reporting and Analytics,To Do,High,29,High,Medium
Workflow Management,To Do,High,2,Low,Medium
Project Management,To Do,High,23,High,Medium
Transfer of Knowledge (TOK),In Progress,High,24,High,Medium
Business Continuity Plan (BCP),To Do,High,27,High,Medium
Human Resource Management (HRM),Completed,High,8,Low,Low
Contract Documentation,Completed,Medium,4,Low,Low
Communication and Collaboration Tools,In Progress,Low,14,Medium,Medium
Inventory Management,Completed,Medium,18,Medium,Low
Management Plans,In Progress,Low,20,High,Low
Audit and Compliance,To Do,High,22,High,Low
Project Management,To Do,High,16,Medium,Medium
Payment Gateway Integration,In Progress,Medium,7,Low,Medium
Payment Gateway Integration,To Do,Medium,7,Low,Medium
Management Plans,In Progress,Medium,21,High,Low
Monitoring & Control Reports,In Progress,Low,24,High,Medium
Human Resource Management (HRM),Completed,Low,2,Low,Low
User Authentication and Access Control,To Do,Low,23,High,Medium
Monitoring & Control Reports,In Progress,Low,21,High,Medium
Project Closure Report,To Do,Medium,28,High,Low
Enterprise Architecture (EA),Completed,Medium,19,Medium,Low
Workflow Management,In Progress,Medium,30,High,Medium
Workflow Management,Completed,High,1,Low,Low
Reporting and Analytics,Completed,Low,21,High,Low
DevOps,Completed,Medium,11,Medium,Low
Communication and Collaboration Tools,Completed,Low,28,High,Medium
Business Continuity Plan (BCP),Completed,Medium,5,Low,Low
Portal Learning Management System (LMS),To Do,Medium,25,High,Medium
Data Services & Management,Completed,High,10,Medium,Low
Project Closure Report,In Progress,High,2,Low,Low
Monitoring & Control Reports,Completed,High,14,Medium,Low
Audit and Compliance,In Progress,Low,1,Low,Medium
User Interface and User Experience (UI/UX),Completed,Low,25,High,Medium
Notification System,In Progress,Low,22,High,Low
Office Renovation,To Do,Medium,16,Medium,Low
Data Lake & Data Warehouse Operation,In Progress,Low,24,High,Medium
User Authentication and Access Control,To Do,Low,19,Medium,Medium
Office Renovation,In Progress,Medium,29,High,Low
Monitoring & Control Reports,In Progress,High,1,Low,Medium
Data Services & Management,To Do,Medium,25,High,Medium
Project Closure Report,To Do,High,24,High,Medium
Transfer of Knowledge (TOK),In Progress,Medium,29,High,Medium
Workflow Management,In Progress,Low,3,Low,Medium
Certificate of Acceptance (CoA),To Do,Medium,26,High,Medium
Human Resource Management (HRM),To Do,High,11,Medium,Medium
Data Management and Storage,To Do,Medium,30,High,Medium
Audit and Compliance,To Do,Medium,16,Medium,Low
Training Management,In Progress,High,18,Medium,Medium
Human Resource Management (HRM),In Progress,Low,26,High,Medium
Human Resource Management (HRM),Completed,Medium,26,High,Low
Change Management,To Do,Low,2,Low,Low
Payment Gateway Integration,In Progress,High,13,Medium,Medium
Payment Gateway Integration,In Progress,Low,10,Medium,Medium
Finalization and Integration,To Do,Medium,10,Medium,Medium
Reporting and Analytics,In Progress,Medium,22,High,Medium
Data Management and Storage,In Progress,Medium,25,High,High
Payment Gateway Integration,In Progress,Low,14,Medium,Medium
Transfer of Technology (TOT),Completed,Medium,16,Medium,Low
Portal,Completed,Medium,8,Low,Low
Finalization and Integration,Completed,High,29,High,Medium
Project Management,In Progress,Low,21,High,Medium
Change Management,Completed,Low,9,Low,Low
Portal,To Do,Medium,9,Low,Medium
Payment Gateway Integration,To Do,High,29,High,High
Human Resource Management (HRM),In Progress,High,5,Low,Medium
Payment Gateway Integration,To Do,Low,23,High,Medium
User Interface and User Experience (UI/UX),Completed,Medium,14,Medium,Medium
Reporting and Analytics,To Do,Low,9,Low,Low
User Authentication and Access Control,Completed,High,6,Low,Medium
Project Management Information System (PMIS),Completed,Medium,8,Low,Low
Monitoring & Control Reports,To Do,Low,7,Low,Medium
Finalization and Integration,In Progress,Medium,15,Medium,Medium
Enterprise Architecture (EA),Completed,Medium,4,Low,Low
Human Resource Management (HRM),To Do,High,12,Medium,Medium
Portal Learning Management System (LMS),In Progress,Low,6,Low,Low
Communication and Collaboration Tools,To Do,Low,28,High,Medium
Enterprise Architecture (EA),To Do,High,13,Medium,Low
Customer Relationship Management (CRM),In Progress,Low,6,Low,Medium
Project Management,Completed,Low,7,Low,Low
Transfer of Technology (TOT),In Progress,Medium,7,Low,Medium
Notification System,To Do,Low,17,Medium,Low
Training Management,To Do,High,11,Medium,Low
Communication and Collaboration Tools,Completed,Low,14,Medium,Low
Monitoring & Control Reports,To Do,Medium,13,Medium,Medium
Workflow Management,In Progress,Low,28,High,Medium
Audit and Compliance,Completed,High,22,High,Low
Customer Relationship Management (CRM),To Do,High,3,Low,Medium
Business Continuity Plan (BCP),Completed,Medium,1,Low,Low
Project Management Information System (PMIS),In Progress,Medium,17,Medium,Medium
Communication and Collaboration Tools,To Do,High,17,Medium,Medium
Payment Gateway Integration,In Progress,Low,12,Medium,Medium
Notification System,Completed,Medium,18,Medium,Low
Inventory Management,In Progress,High,7,Low,Medium
Communication and Collaboration Tools,In Progress,High,23,High,High
Monitoring & Control Reports,In Progress,Medium,4,Low,Medium
User Authentication and Access Control,To Do,Low,17,Medium,Medium
Audit and Compliance,To Do,Medium,21,High,Low
Workflow Management,In Progress,Medium,24,High,Medium
Business Continuity Plan (BCP),In Progress,High,13,Medium,Medium
Portal,In Progress,Low,4,Low,Medium
Workflow Management,Completed,High,23,High,Medium
User Interface and User Experience (UI/UX),To Do,Low,10,Medium,Medium
User Authentication and Access Control,Completed,High,27,High,Medium
Transfer of Technology (TOT),Completed,High,13,Medium,Low
Communication and Collaboration Tools,In Progress,Low,10,Medium,Medium
Reporting and Analytics,Completed,Low,11,Medium,Low
Notification System,In Progress,Low,30,High,Low
User Authentication and Access Control,To Do,High,24,High,High
User Interface and User Experience (UI/UX),In Progress,Low,15,Medium,Medium
Project Management,In Progress,Medium,3,Low,Medium
Finalization and Integration,Completed,Low,20,High,Low
Transfer of Technology (TOT),In Progress,Medium,10,Medium,Medium
Data Services & Management,In Progress,Medium,24,High,High
Project Closure Report,Completed,High,13,Medium,Low
Office Renovation,To Do,Medium,21,High,Low
Office Renovation,To Do,High,9,Low,Low
Finalization and Integration,To Do,Medium,21,High,Medium
User Interface and User Experience (UI/UX),Completed,High,17,Medium,Medium
Business Continuity Plan (BCP),Completed,Low,16,Medium,Low
Certificate of Acceptance (CoA),To Do,High,23,High,Medium
Project Management Information System (PMIS),In Progress,Low,5,Low,Low
Enterprise Architecture (EA),To Do,High,30,High,Medium
Workflow Management,Completed,High,18,Medium,Low
Transfer of Knowledge (TOK),Completed,Medium,25,High,Low
Enterprise Architecture (EA),Completed,High,26,High,Low
Change Management,To Do,High,8,Low,Low
Data Lake & Data Warehouse Operation,In Progress,Low,19,Medium,Medium
Enterprise Architecture (EA),Completed,Low,7,Low,Low
Change Management,Completed,Medium,29,High,Low
Inventory Management,In Progress,High,12,Medium,Medium
Project Management,In Progress,Medium,30,High,Medium
Change Management,Completed,Medium,14,Medium,Low
Reporting and Analytics,To Do,Low,9,Low,Low
Data Services & Management,To Do,High,20,High,High
Human Resource Management (HRM),To Do,High,14,Medium,Medium
User Interface and User Experience (UI/UX),In Progress,Medium,20,High,Medium
Audit and Compliance,To Do,Low,28,High,Low
Office Renovation,In Progress,Medium,23,High,Low
Communication and Collaboration Tools,Completed,Medium,20,High,Medium
Project Closure Report,Completed,High,16,Medium,Low
Data Lake & Data Warehouse Operation,Completed,Low,16,Medium,Medium
Monitoring & Control Reports,To Do,Low,19,Medium,Medium
Project Management,In Progress,Medium,13,Medium,Medium
Reporting and Analytics,Completed,Low,20,High,Low
Payment Gateway Integration,To Do,High,17,Medium,Medium
Audit and Compliance,To Do,Medium,19,Medium,Low
Project Closure Report,To Do,Low,4,Low,Low
Data Services & Management,To Do,Low,13,Medium,Medium
Project Management,Completed,High,7,Low,Low
User Interface and User Experience (UI/UX),In Progress,Low,10,Medium,Medium
Audit and Compliance,To Do,High,1,Low,Low
Office Renovation,In Progress,Medium,27,High,Low
Reporting and Analytics,Completed,Medium,12,Medium,Low
DevOps,Completed,Low,3,Low,Low
Project Management Information System (PMIS),To Do,Low,9,Low,Low
Data Management and Storage,Completed,High,14,Medium,Low
Data Management and Storage,To Do,High,2,Low,Medium
User Authentication and Access Control,Completed,Medium,17,Medium,Medium
Change Management,To Do,High,18,Medium,Low
Finalization and Integration,Completed,High,9,Low,Low
Project Management,Completed,Low,2,Low,Low
User Interface and User Experience (UI/UX),Completed,Low,4,Low,Low
Monitoring & Control Reports,To Do,Low,26,High,Medium
Data Lake & Data Warehouse Operation,Completed,Low,17,Medium,Medium
Payment Gateway Integration,Completed,High,1,Low,Medium
Inventory Management,Completed,High,28,High,Medium
Data Services & Management,Completed,High,22,High,Medium
Change Management,In Progress,Medium,29,High,Medium
Management Plans,To Do,Medium,24,High,Low
Finalization and Integration,To Do,High,23,High,High
Transfer of Knowledge (TOK),Completed,Low,1,Low,Low
Change Management,In Progress,Medium,7,Low,Low
Project Management,To Do,Medium,24,High,Medium
Business Continuity Plan (BCP),In Progress,Medium,2,Low,Low
User Authentication and Access Control,In Progress,Medium,7,Low,Medium
Project Closure Report,To Do,Medium,18,Medium,Low
Communication and Collaboration Tools,In Progress,High,15,Medium,Medium
DevOps,Completed,High,12,Medium,Low
Inventory Management,Completed,Low,4,Low,Low
Human Resource Management (HRM),Completed,Low,13,Medium,Low
Payment Gateway Integration,Completed,High,20,High,High
Customer Relationship Management (CRM),In Progress,Low,21,High,High
Monitoring & Control Reports,Completed,Medium,25,High,Medium
Monitoring & Control Reports,In Progress,Medium,12,Medium,Medium
Monitoring & Control Reports,Completed,High,20,High,High
Notification System,In Progress,High,27,High,Medium
Data Management and Storage,In Progress,Low,26,High,Medium
Project Closure Report,To Do,High,17,Medium,Low
Transfer of Knowledge (TOK),Completed,High,21,High,Low
Portal,To Do,Medium,10,Medium,Medium
Reporting and Analytics,Completed,Low,9,Low,Low
Monitoring & Control Reports,Completed,High,6,Low,High
Project Closure Report,In Progress,Low,27,High,Low
Transfer of Knowledge (TOK),To Do,High,27,High,Medium
Change Management,In Progress,High,14,Medium,Low
Transfer of Knowledge (TOK),To Do,High,6,Low,Low
Contract Documentation,Completed,Low,14,Medium,Low
Certificate of Acceptance (CoA),Completed,Medium,24,High,Low
Certificate of Acceptance (CoA),Completed,Medium,28,High,Low
User Authentication and Access Control,In Progress,Medium,28,High,Medium
Contract Documentation,In Progress,Medium,25,High,Medium
Office Renovation,Completed,Medium,16,Medium,Low
Office Renovation,In Progress,High,25,High,Medium
Portal,Completed,High,29,High,Medium
Payment Gateway Integration,To Do,Low,1,Low,Medium
Customer Relationship Management (CRM),Completed,Medium,12,Medium,Low
Human Resource Management (HRM),In Progress,Medium,11,Medium,Medium
Data Lake & Data Warehouse Operation,To Do,Low,23,High,Medium
Data Management and Storage,To Do,Medium,23,High,Medium
Management Plans,Completed,Low,13,Medium,Low
Reporting and Analytics,Completed,Low,13,Medium,Low
Business Continuity Plan (BCP),In Progress,High,12,Medium,Medium
Data Lake & Data Warehouse Operation,Completed,High,18,Medium,Medium
Inventory Management,To Do,Low,22,High,Medium
Transfer of Knowledge (TOK),Completed,Low,12,Medium,Low
Project Management,Completed,Medium,1,Low,Low
Training Management,To Do,High,3,Low,Low
Workflow Management,Completed,High,3,Low,Low
Project Management Information System (PMIS),In Progress,Low,9,Low,Low
Data Management and Storage,Completed,Low,2,Low,Low
Data Management and Storage,In Progress,Low,2,Low,Medium
Office Renovation,To Do,Medium,17,Medium,Low
Communication and Collaboration Tools,In Progress,Medium,5,Low,Medium
Human Resource Management (HRM),Completed,Medium,11,Medium,Low
Workflow Management,To Do,High,10,Medium,Medium
Office Renovation,In Progress,High,7,Low,Low
Data Lake & Data Warehouse Operation,To Do,Low,30,High,Medium
Communication and Collaboration Tools,In Progress,High,25,High,High
Workflow Management,Completed,High,22,High,Medium
Project Closure Report,In Progress,Low,27,High,Low
Inventory Management,Completed,High,13,Medium,Low
Reporting and Analytics,Completed,High,1,Low,Low
Data Management and Storage,To Do,Low,17,Medium,Medium
User Interface and User Experience (UI/UX),In Progress,High,4,Low,Medium
Project Closure Report,In Progress,Low,29,High,Low
Portal,To Do,Medium,5,Low,Medium
Data Services & Management,To Do,Low,9,Low,Medium
Change Management,Completed,Low,12,Medium,Low
Communication and Collaboration Tools,In Progress,Low,4,Low,Medium
Certificate of Acceptance (CoA),In Progress,High,15,Medium,Low
User Interface and User Experience (UI/UX),In Progress,Medium,19,Medium,Medium
Audit and Compliance,In Progress,High,15,Medium,Medium
User Authentication and Access Control,To Do,High,3,Low,Medium
Data Services & Management,In Progress,High,14,Medium,High
Reporting and Analytics,In Progress,High,16,Medium,Medium
Project Management Information System (PMIS),Completed,High,20,High,Medium
Business Continuity Plan (BCP),In Progress,Low,5,Low,Low
Workflow Management,In Progress,Low,20,High,Medium
Project Closure Report,In Progress,High,13,Medium,Low
Data Lake & Data Warehouse Operation,Completed,Medium,1,Low,Low
Notification System,To Do,High,18,Medium,Low
User Interface and User Experience (UI/UX),In Progress,Medium,19,Medium,Medium
Data Management and Storage,In Progress,Medium,27,High,High
Project Closure Report,In Progress,Medium,15,Medium,Low
Transfer of Knowledge (TOK),To Do,Medium,5,Low,Low
Payment Gateway Integration,In Progress,High,13,Medium,Medium
Finalization and Integration,Completed,High,25,High,Medium
DevOps,In Progress,Medium,15,Medium,Medium
Monitoring & Control Reports,In Progress,Low,28,High,Medium
User Interface and User Experience (UI/UX),To Do,Medium,16,Medium,Medium
User Interface and User Experience (UI/UX),To Do,High,10,Medium,Medium
Human Resource Management (HRM),To Do,Low,7,Low,Low
Human Resource Management (HRM),In Progress,High,24,High,High
User Authentication and Access Control,Completed,Low,25,High,Medium
Business Continuity Plan (BCP),To Do,High,6,Low,Low
Data Lake & Data Warehouse Operation,To Do,High,19,Medium,Medium
Portal,Completed,Medium,27,High,Low
Business Continuity Plan (BCP),Completed,High,15,Medium,Low
Data Services & Management,To Do,High,15,Medium,Medium
Inventory Management,In Progress,Low,29,High,Medium
Reporting and Analytics,To Do,High,17,Medium,Medium
Certificate of Acceptance (CoA),Completed,Low,19,Medium,Low
User Authentication and Access Control,Completed,High,21,High,Medium
Payment Gateway Integration,In Progress,High,13,Medium,Medium
Change Management,Completed,Medium,30,High,Low
Payment Gateway Integration,In Progress,High,20,High,High
Transfer of Technology (TOT),Completed,Medium,24,High,Low
Portal Learning Management System (LMS),To Do,Low,20,High,Medium
Training Management,In Progress,Low,11,Medium,Medium
Transfer of Technology (TOT),Completed,Medium,25,High,Low
Data Management and Storage,Completed,Low,29,High,Low
Data Management and Storage,In Progress,Low,8,Low,Medium
Transfer of Technology (TOT),In Progress,Low,3,Low,Low
Data Lake & Data Warehouse Operation,In Progress,Medium,21,High,Medium
Portal,To Do,Medium,15,Medium,Medium
Training Management,In Progress,Medium,2,Low,Medium
User Authentication and Access Control,Completed,Medium,28,High,Medium
Data Services & Management,To Do,Medium,3,Low,Medium
Certificate of Acceptance (CoA),In Progress,Low,19,Medium,Low
Change Management,Completed,Low,20,High,Low
Audit and Compliance,To Do,Low,4,Low,Low
User Authentication and Access Control,In Progress,Medium,28,High,Medium
Project Management Information System (PMIS),Completed,Medium,9,Low,Low
Management Plans,Completed,Medium,26,High,Low
Monitoring & Control Reports,In Progress,High,5,Low,Medium
User Authentication and Access Control,To Do,Low,29,High,Medium
Project Management,In Progress,Low,21,High,Medium
Enterprise Architecture (EA),Completed,Low,22,High,Low
Audit and Compliance,In Progress,High,26,High,Medium
Portal,Completed,Low,11,Medium,Low
DevOps,To Do,Medium,2,Low,Medium
Project Management,In Progress,High,12,Medium,Medium
Finalization and Integration,In Progress,Medium,16,Medium,Medium
Workflow Management,In Progress,Low,2,Low,Medium
Office Renovation,In Progress,Low,18,Medium,Low
Reporting and Analytics,Completed,High,13,Medium,Low
Training Management,To Do,High,19,Medium,Low
Data Management and Storage,Completed,Low,14,Medium,Low
Human Resource Management (HRM),To Do,Medium,30,High,Medium
Transfer of Technology (TOT),To Do,Low,10,Medium,Low
Data Management and Storage,In Progress,High,13,Medium,Medium
Certificate of Acceptance (CoA),Completed,Low,23,High,Low
Finalization and Integration,To Do,Low,14,Medium,Medium
Communication and Collaboration Tools,In Progress,Medium,20,High,High
Business Continuity Plan (BCP),Completed,Low,2,Low,Low
Monitoring & Control Reports,Completed,Medium,23,High,High
Contract Documentation,To Do,Medium,18,Medium,Low
User Interface and User Experience (UI/UX),In Progress,Medium,8,Low,Medium
Human Resource Management (HRM),To Do,Low,22,High,Medium
Enterprise Architecture (EA),Completed,High,12,Medium,Low
Transfer of Technology (TOT),To Do,Medium,5,Low,Low
Project Management,Completed,Low,2,Low,Low
Training Management,Completed,High,17,Medium,Low
Monitoring & Control Reports,In Progress,Low,23,High,Medium
Transfer of Technology (TOT),Completed,Medium,22,High,Low
Change Management,Completed,Low,17,Medium,Low
User Interface and User Experience (UI/UX),To Do,Medium,24,High,Medium
Contract Documentation,To Do,High,18,Medium,Low
Contract Documentation,In Progress,High,28,High,Medium
Change Management,In Progress,Low,11,Medium,Low
Office Renovation,To Do,Low,12,Medium,Low
Training Management,Completed,Low,15,Medium,Low
Payment Gateway Integration,Completed,High,11,Medium,Medium
User Interface and User Experience (UI/UX),To Do,Low,9,Low,Medium
Data Services & Management,To Do,Low,18,Medium,Medium
Notification System,Completed,High,6,Low,Low
Project Management Information System (PMIS),To Do,Low,30,High,Medium
Change Management,Completed,Low,15,Medium,Low
Transfer of Knowledge (TOK),Completed,Medium,28,High,Low
Enterprise Architecture (EA),To Do,High,26,High,Medium
Inventory Management,Completed,High,21,High,Medium
Certificate of Acceptance (CoA),In Progress,High,7,Low,Low
Monitoring & Control Reports,Completed,Medium,18,Medium,Medium
Notification System,Completed,Low,27,High,Low
Data Lake & Data Warehouse Operation,Completed,High,25,High,Medium
Transfer of Knowledge (TOK),In Progress,Medium,18,Medium,Medium
Portal Learning Management System (LMS),Completed,Low,21,High,Low
Office Renovation,To Do,Low,16,Medium,Low
Data Lake & Data Warehouse Operation,To Do,Medium,20,High,Medium
Reporting and Analytics,In Progress,High,26,High,High
Enterprise Architecture (EA),Completed,Low,14,Medium,Low
User Interface and User Experience (UI/UX),In Progress,High,26,High,High
Inventory Management,To Do,High,7,Low,Medium
Payment Gateway Integration,In Progress,Low,18,Medium,Medium
Portal Learning Management System (LMS),To Do,High,9,Low,Medium
Data Lake & Data Warehouse Operation,In Progress,High,21,High,High
Change Management,Completed,Low,2,Low,Low
Project Closure Report,Completed,Low,14,Medium,Low
Enterprise Architecture (EA),In Progress,Medium,5,Low,Low
Customer Relationship Management (CRM),In Progress,High,26,High,High
Training Management,Completed,Low,28,High,Low
Portal Learning Management System (LMS),To Do,High,26,High,High
Change Management,To Do,Medium,26,High,Low
Transfer of Knowledge (TOK),Completed,Medium,4,Low,Low
Data Lake & Data Warehouse Operation,In Progress,Medium,7,Low,Medium
Monitoring & Control Reports,Completed,Medium,23,High,Low
Project Management Information System (PMIS),In Progress,Medium,23,High,Medium
DevOps,Completed,High,20,High,Medium
Data Lake & Data Warehouse Operation,Completed,High,3,Low,Medium
User Interface and User Experience (UI/UX),Completed,High,1,Low,Medium
Certificate of Acceptance (CoA),To Do,Medium,18,Medium,Low
Data Lake & Data Warehouse Operation,To Do,Medium,8,Low,Medium
DevOps,In Progress,High,1,Low,Medium
DevOps,In Progress,High,18,Medium,Medium
DevOps,To Do,High,14,Medium,Medium
Notification System,To Do,Low,18,Medium,Low
Workflow Management,In Progress,Low,24,High,Medium
Project Management Information System (PMIS),In Progress,Medium,26,High,Medium
Audit and Compliance,In Progress,High,12,Medium,Medium
Reporting and Analytics,Completed,High,12,Medium,Low
Portal,Completed,High,21,High,Medium
Office Renovation,Completed,Low,8,Low,Low
Data Services & Management,In Progress,High,25,High,High
User Interface and User Experience (UI/UX),In Progress,Medium,21,High,Medium
Data Services & Management,In Progress,Medium,12,Medium,Medium
Transfer of Technology (TOT),Completed,Medium,3,Low,Low
Project Management,In Progress,Medium,16,Medium,Medium
Change Management,Completed,Low,5,Low,Low
Communication and Collaboration Tools,Completed,Low,15,Medium,Low
Transfer of Knowledge (TOK),Completed,Low,3,Low,Low
Payment Gateway Integration,To Do,Low,5,Low,Medium
Data Services & Management,In Progress,Low,23,High,Medium
Human Resource Management (HRM),To Do,Low,21,High,Medium
Portal,To Do,Medium,20,High,Medium
Communication and Collaboration Tools,Completed,Low,20,High,Medium
Portal Learning Management System (LMS),Completed,Medium,18,Medium,Low
Contract Documentation,In Progress,Low,18,Medium,Low
Communication and Collaboration Tools,To Do,Low,9,Low,Medium
Management Plans,In Progress,High,15,Medium,Low
Contract Documentation,In Progress,Low,4,Low,Low
Monitoring & Control Reports,In Progress,Low,13,Medium,Medium
Transfer of Technology (TOT),To Do,Medium,23,High,Low
User Interface and User Experience (UI/UX),To Do,Medium,6,Low,Medium
Management Plans,Completed,Low,1,Low,Low
Communication and Collaboration Tools,In Progress,Medium,7,Low,Medium
Data Management and Storage,In Progress,Low,15,Medium,Medium
Monitoring & Control Reports,To Do,Low,7,Low,Medium
Project Management Information System (PMIS),Completed,Low,26,High,Low
Workflow Management,In Progress,Low,26,High,Medium
Transfer of Technology (TOT),Completed,Medium,17,Medium,Low
Human Resource Management (HRM),To Do,Medium,5,Low,Medium
Portal,Completed,Low,2,Low,Low
Notification System,Completed,Low,2,Low,Low
Training Management,To Do,Medium,23,High,Low
User Authentication and Access Control,To Do,Medium,4,Low,Medium
Human Resource Management (HRM),In Progress,Medium,13,Medium,Medium
Finalization and Integration,To Do,Medium,17,Medium,Medium
Monitoring & Control Reports,Completed,Low,21,High,High
Training Management,Completed,Medium,4,Low,Low
Office Renovation,In Progress,Medium,6,Low,Low
Monitoring & Control Reports,To Do,Medium,16,Medium,Medium
Audit and Compliance,To Do,Low,8,Low,Low
Human Resource Management (HRM),Completed,Low,20,High,Low
Reporting and Analytics,To Do,Low,15,Medium,Medium
Communication and Collaboration Tools,Completed,Medium,28,High,Medium
DevOps,Completed,Low,14,Medium,Low
Project Closure Report,In Progress,Low,26,High,Low
Training Management,Completed,High,18,Medium,Low
Project Management,In Progress,Medium,24,High,Medium
Monitoring & Control Reports,To Do,High,21,High,High
Communication and Collaboration Tools,To Do,High,16,Medium,Medium
Communication and Collaboration Tools,Completed,High,23,High,Medium
Contract Documentation,To Do,High,2,Low,Low
Customer Relationship Management (CRM),In Progress,Low,2,Low,Medium
Communication and Collaboration Tools,Completed,Medium,19,Medium,Low
Reporting and Analytics,Completed,High,9,Low,Low
Reporting and Analytics,To Do,Low,9,Low,Low
Finalization and Integration,To Do,Low,20,High,Medium
Change Management,Completed,Low,4,Low,Low
Data Services & Management,Completed,High,19,Medium,Low
Management Plans,Completed,High,18,Medium,Low
Inventory Management,Completed,Low,18,Medium,Low
Project Management,In Progress,High,28,High,High
Certificate of Acceptance (CoA),Completed,High,23,High,Low
Payment Gateway Integration,In Progress,Low,29,High,Medium
Business Continuity Plan (BCP),To Do,High,10,Medium,Medium
Customer Relationship Management (CRM),To Do,Low,14,Medium,Medium
Change Management,To Do,Low,1,Low,Low
Finalization and Integration,To Do,Low,2,Low,Medium
Management Plans,Completed,High,26,High,Medium
Portal Learning Management System (LMS),Completed,Low,17,Medium,Low
Project Management Information System (PMIS),In Progress,Medium,17,Medium,Medium
Audit and Compliance,Completed,Low,2,Low,Low
Management Plans,Completed,Medium,20,High,Low
Transfer of Technology (TOT),To Do,High,20,High,Medium
Customer Relationship Management (CRM),To Do,Low,21,High,Medium
Project Closure Report,In Progress,Medium,15,Medium,Low
Portal,To Do,Medium,26,High,Medium
Transfer of Technology (TOT),To Do,High,20,High,Medium
Project Management,To Do,Medium,7,Low,Medium
User Authentication and Access Control,Completed,High,25,High,Medium
Change Management,To Do,Low,12,Medium,Low
